,coef
apart,0.018967349010737797
prove,0.019034543925425904
final,0.019046273243974777
main,0.019770624202446383
could nt,0.020676982152748078
else,0.020718904123917588
fully,0.020898938145736182
league,0.020930826592868733
joy,0.02169160722211525
absolutely miserable,0.021922161426737287
hold,0.021994950520466152
tl,0.02327862979070915
green,0.02360949129878946
somewhere,0.02401940340130773
thread,0.02459321534012288
eventually,0.02470865138854586
wonder,0.025284779545723862
market,0.0253020761127448
rule,0.025359969885975116
like i,0.026012181984853996
cross,0.0265299795418465
tour,0.026651387488803698
agoraphobia,0.026893299973135568
urge,0.02707814753267666
streaming,0.027852750601968165
fucking depressed,0.027972225379196032
unless,0.028514233155747727
go bed,0.028765844045327428
officially,0.02879477667403554
decent,0.028914939636387176
outside,0.028938353453278547
appreciate,0.02917448797753188
age,0.029457636808574064
anxiety attack,0.02950287881399291
project,0.0300146974359921
do,0.030466008042331315
stress feel,0.03061856422627145
except,0.03105589066135597
flow,0.031395366664092664
bts,0.03149875617503576
possibly,0.0316974498628445
health issue,0.03187965941286693
john,0.03208320388897352
want anything,0.03234482411364603
nope,0.03263102573171062
fan,0.0327952093622904
rip,0.0328287144232025
thing,0.03354774007080175
first day,0.03377156870285246
even know,0.03386527611399334
person,0.03387564413731304
write,0.03399197725323375
fly,0.03411050908575937
st,0.03428934560392423
fine,0.03451902452455676
remind,0.034779388862003005
nt need,0.03491554654447933
damn thing,0.035230608952620965
turn,0.03529085936794323
want hurt,0.035737302186678435
also suffer,0.035933211634966114
comfort,0.03704164313202097
father,0.038005172974755426
really good,0.03807222383685356
nt wait,0.03826582935360721
hug,0.03827161753426413
commit,0.038341515579907164
chat,0.038389858765780584
de,0.03845927178202041
beyond,0.03848846174654119
evidence,0.03868599926764107
difference,0.038836840868242566
email,0.03910268357066156
size,0.039416257737387786
never feel,0.03944993421117666
collect,0.03946065615940236
deserve,0.04000395790755978
couple,0.040066901534129326
wish could,0.04021548456669917
simply,0.040317156351291954
yo,0.0404157281625828
tho,0.041180221565642265
tree,0.04131736490784247
press,0.0420341777909442
oct,0.042037539306833294
fund,0.04233311828297419
journey,0.04272259227655644
brand,0.04389843899118424
two,0.04400519905675663
monday,0.044047792409824024
document,0.04407737718183319
nt start,0.04425238794219557
rlly,0.04464105049067856
hate hate,0.04467154869201004
thing like,0.04474043608120799
bruh,0.04537669682262647
suddenly,0.0454517705277123
sign,0.04553705501852006
thank god,0.04555921500211993
mostly,0.045620127035608395
anxiety ptsd,0.04587579357228846
tbh,0.04613822654316184
healthcare,0.046900180417927755
ve,0.04691179201520372
please do,0.046919898548337065
rain,0.04778763129310607
pay,0.04809507909418637
act like,0.048631989844986366
uk,0.0488868275102353
simple,0.04907954581590548
wild,0.04935846619290971
crawl,0.04946087193899379
relief,0.049848749968924744
count,0.04990424791736507
rate,0.050090672255728046
cry time,0.05020109732952276
what,0.05038009735079796
score,0.05092254222490018
every single,0.051057300286581266
besides,0.05111733834011348
close,0.051191339930456936
debate,0.051356060241955936
however,0.05218512490698144
surprise,0.05226043965661054
property,0.05228617860959004
nation,0.05245888733742694
would nt,0.052615315538594415
excuse,0.053371953935445055
would like,0.05364016032715752
taehyung,0.05380301359523617
campaign,0.05432553409314961
decide,0.0547998521420212
gon na,0.055552122996382035
one want,0.05560346386105496
policy,0.05564559836586526
want see,0.05566851996719227
exact,0.05656152755128728
btw,0.056625151003621116
track,0.056713420502888946
lil,0.057496914876811404
save,0.057565879917740086
affect,0.05791361551236285
financial,0.05838909660040625
tip,0.058580632850042356
deliver,0.058813202792862604
give,0.05904176907519455
connect,0.05921280611528583
room,0.059218569331111005
likely,0.05965349934592332
christmas,0.05970307759483181
help we,0.05972875065466936
that,0.05976463792210894
make sense,0.06083427323893342
improve,0.06121695426130918
meme,0.061272511987553575
private,0.0616718686406471
bad thing,0.06178920838814687
thinking,0.062124868787448516
last,0.06224242083791687
nt work,0.06283643344033346
cry ca,0.06295069046917828
depend,0.06303111009308492
wow,0.063230951064636
model,0.06327290622333488
solve,0.06328093802221546
twenty,0.06360036008779335
finish,0.06384713985401429
truly,0.06398052845356789
ptsd depression,0.06405055951583762
call,0.06437061813227986
probably,0.06444388536872193
fucking miserable,0.06458513270958251
alive,0.06462171481149155
spot,0.06542057994119262
forward,0.06547737352082782
red,0.06588718170717112
include,0.0660795994710973
balance,0.06628490842095149
short,0.0662992660337922
use,0.06634421360248728
understand,0.06652590406438111
charity,0.06670940215820305
want leave,0.06673082980027073
start,0.066776611516804
hang,0.06692281238946796
page,0.0670816840977614
ear,0.06751070824674323
nowhere,0.0677519668808173
football,0.06781869524501503
search,0.067941740642146
least,0.06816377020945331
able,0.06829549836661758
apply,0.06829745717530906
theory,0.06862755899776772
one thing,0.06978197916972617
tw depression,0.07034803384049707
year old,0.07065952517150828
move,0.07078572208078858
try get,0.07080336207216278
think would,0.07092784748941455
continue,0.07157994205387096
who s,0.07201315909187131
drive,0.07205180961440939
progress,0.07230954959635712
friday,0.07233559159046807
power,0.07246645486251115
ever want,0.07281437632084256
black,0.07292764956831614
phone,0.07298291064417883
really need,0.07301549185525387
whole,0.07310359245719453
serious,0.0733606497605662
manager,0.07381854183219465
kim,0.07403199270893429
